Group,Date,Actual,TestForecast,DataType
Business (Corporate) Services,2024-07-01,8921496.16,6183843.808740022,Test
Business (Corporate) Services,2024-08-01,7918250.75,6244375.220573591,Test
Business (Corporate) Services,2024-09-01,6763729.67,6305499.152517923,Test
Business (Corporate) Services,2024-10-01,10091342.02,6367221.404538223,Test
Business (Corporate) Services,2024-11-01,7839522.0,6429547.833373442,Test
Business (Corporate) Services,2024-12-01,6505997.44,6492484.35309204,Test
Business (Corporate) Services,2025-01-01,9048066.99,6556036.935653159,Test
Business (Corporate) Services,2025-02-01,8549338.63,6620211.611473262,Test
Business (Corporate) Services,2025-03-01,8467652.13,6685014.469998411,Test
Business (Corporate) Services,2025-04-01,8523255.53,6750451.660282041,Test
Business (Corporate) Services,2025-05-01,11014223.93,6816529.391568452,Test
Construction Services,2020-09-01,464102.0,,Train
Construction Services,2020-10-01,46286413.97,,Train
Construction Services,2020-11-01,32695464.0,,Train
Construction Services,2020-12-01,35692515.94,,Train
Construction Services,2021-01-01,36670411.620000005,,Train
Construction Services,2021-02-01,31470089.06,,Train
Construction Services,2021-03-01,54520133.97,,Train
Construction Services,2021-04-01,46939785.730000004,,Train
Construction Services,2021-05-01,18601105.54,,Train
Construction Services,2021-06-01,30872265.78,,Train
Construction Services,2021-07-01,27013461.41,,Train
Construction Services,2021-08-01,12853306.34,,Train
Construction Services,2021-09-01,10460852.2,,Train
Construction Services,2021-10-01,7790286.4399999995,,Train
Construction Services,2021-11-01,6796405.57,,Train
Construction Services,2021-12-01,12646198.41,,Train
Construction Services,2022-01-01,6533226.76,,Train
Construction Services,2022-02-01,6915095.72,,Train
Construction Services,2022-03-01,10540766.58,,Train
Construction Services,2022-04-01,9006688.49,,Train
Construction Services,2022-05-01,8106619.04,,Train
Construction Services,2022-06-01,11869878.68,,Train
Construction Services,2022-07-01,10293561.45,,Train
Construction Services,2022-08-01,10744653.89,,Train
Construction Services,2022-09-01,9554732.81,,Train
Construction Services,2022-10-01,9531992.03,,Train
Construction Services,2022-11-01,11975159.6,,Train
Construction Services,2022-12-01,10073902.92,,Train
Construction Services,2023-01-01,4548921.98,,Train
Construction Services,2023-02-01,9538136.4,,Train
Construction Services,2023-03-01,9402993.7,,Train
Construction Services,2023-04-01,13025651.08,,Train
Construction Services,2023-05-01,7203874.01,,Train
Construction Services,2023-06-01,10251300.24,,Train
Construction Services,2023-07-01,9411663.97,,Train
Construction Services,2023-08-01,7218722.29,,Train
Construction Services,2023-09-01,17331897.41,,Train
Construction Services,2023-10-01,6724922.66,,Train
Construction Services,2023-11-01,6591221.8100000005,,Train
Construction Services,2023-12-01,11813003.47,,Train
Construction Services,2024-01-01,11235281.98,,Train
Construction Services,2024-02-01,7917354.8,,Train
Construction Services,2024-03-01,12427593.209999999,,Train
Construction Services,2024-04-01,7076853.91,,Train
Construction Services,2024-05-01,18273162.330000002,,Train
Construction Services,2024-06-01,5537756.72,11969646.494017707,Test
Construction Services,2024-07-01,16715522.05,12097027.368678497,Test
Construction Services,2024-08-01,10106398.15,12225763.829507805,Test
Construction Services,2024-09-01,7304082.63,12355870.302641936,Test
Construction Services,2024-10-01,10494775.62,12487361.367740009,Test
Construction Services,2024-11-01,15342545.48,12620251.759617753,Test
Construction Services,2024-12-01,20875147.73,12754556.369898677,Test
Construction Services,2025-01-01,17320079.62,12890290.24868282,Test
Construction Services,2025-02-01,11818945.27,13027468.606233254,Test
Construction Services,2025-03-01,20089362.68,13166106.814680541,Test
Construction Services,2025-04-01,17638749.13,13306220.409745324,Test
Construction Services,2025-05-01,19858097.16,13447825.09247925,Test
Facilities Management,2020-09-01,945388.99,,Train
Facilities Management,2020-10-01,3238309.98,,Train
Facilities Management,2020-11-01,1200756.81,,Train
Facilities Management,2020-12-01,3751264.79,,Train
Facilities Management,2021-01-01,1176523.5899999999,,Train
Facilities Management,2021-02-01,2221663.8000000003,,Train
Facilities Management,2021-03-01,3812812.69,,Train
Facilities Management,2021-04-01,2874119.16,,Train
Facilities Management,2021-05-01,1308720.83,,Train
Facilities Management,2021-06-01,2955217.55,,Train
Facilities Management,2021-07-01,1772759.95,,Train
Facilities Management,2021-08-01,714956.62,,Train
Facilities Management,2021-09-01,1128354.29,,Train
Facilities Management,2021-10-01,2800842.55,,Train
Facilities Management,2021-11-01,2139934.73,,Train
Facilities Management,2021-12-01,3591720.73,,Train
Facilities Management,2022-01-01,647146.6,,Train
Facilities Management,2022-02-01,1487837.43,,Train
Facilities Management,2022-03-01,1633397.39,,Train
Facilities Management,2022-04-01,2985548.84,,Train
Facilities Management,2022-05-01,2271455.18,,Train
Facilities Management,2022-06-01,3134660.73,,Train
Facilities Management,2022-07-01,3453909.55,,Train
Facilities Management,2022-08-01,2203543.2,,Train
Facilities Management,2022-09-01,3455221.0300000003,,Train
Facilities Management,2022-10-01,1910654.42,,Train
Facilities Management,2022-11-01,2406724.9499999997,,Train
Facilities Management,2022-12-01,3018856.0,,Train
Facilities Management,2023-01-01,782417.84,,Train
Facilities Management,2023-02-01,3046890.38,,Train
Facilities Management,2023-03-01,1552993.6,,Train
Facilities Management,2023-04-01,2983631.68,,Train
Facilities Management,2023-05-01,6906336.11,,Train
Facilities Management,2023-06-01,6613812.75,,Train
Facilities Management,2023-07-01,6617048.0600000005,,Train
Facilities Management,2023-08-01,8144406.859999999,,Train
Facilities Management,2023-09-01,1880154.11,,Train
Facilities Management,2023-10-01,1038420.76,,Train
Facilities Management,2023-11-01,6998856.149999999,,Train
Facilities Management,2023-12-01,5576106.0,,Train
Facilities Management,2024-01-01,1906705.39,,Train
Facilities Management,2024-02-01,4164286.85,,Train
Facilities Management,2024-03-01,2639120.29,,Train
Facilities Management,2024-04-01,1291738.22,,Train
Facilities Management,2024-05-01,3672673.36,,Train
Facilities Management,2024-06-01,2284131.07,3508708.5856932933,Test
Facilities Management,2024-07-01,3400364.17,3567416.940863303,Test
Facilities Management,2024-08-01,2528948.5,3627107.6149927224,Test
Facilities Management,2024-09-01,5350287.1,3687797.0444224295,Test
Facilities Management,2024-10-01,2657373.83,3749501.940509172,Test
Facilities Management,2024-11-01,3863533.03,3812239.294227181,Test
Facilities Management,2024-12-01,3332957.44,3876026.3808467826,Test
Facilities Management,2025-01-01,1469451.55,3940880.764691293,Test
Facilities Management,2025-02-01,6174876.74,4006820.303973505,Test
Facilities Management,2025-03-01,29156180.13,4073863.1557131014,Test
Facilities Management,2025-04-01,4065992.91,4142027.7807363463,Test
Facilities Management,2025-05-01,4023288.54,4211332.948759439,Test
Fleet,2020-09-01,54913.600000000006,,Train
Fleet,2020-10-01,375176.48,,Train
Fleet,2020-11-01,954012.3200000001,,Train
Fleet,2020-12-01,1022061.22,,Train
Fleet,2021-01-01,270100.76,,Train
Fleet,2021-02-01,798039.02,,Train
Fleet,2021-03-01,2760523.46,,Train
Fleet,2021-04-01,3717488.87,,Train
Fleet,2021-05-01,1422305.24,,Train
Fleet,2021-06-01,1701585.58,,Train
Fleet,2021-07-01,2545696.39,,Train
Fleet,2021-08-01,725962.14,,Train
Fleet,2021-09-01,224883.79,,Train
Fleet,2021-10-01,1238669.27,,Train
Fleet,2021-11-01,1291443.75,,Train
Fleet,2021-12-01,2112550.37,,Train
Fleet,2022-01-01,997847.75,,Train
Fleet,2022-02-01,1198429.3,,Train
Fleet,2022-03-01,1332050.6099999999,,Train
Fleet,2022-04-01,2355373.2399999998,,Train
Fleet,2022-05-01,2153108.84,,Train
Fleet,2022-06-01,2262811.11,,Train
Fleet,2022-07-01,1136565.5,,Train
Fleet,2022-08-01,695989.12,,Train
Fleet,2022-09-01,926676.59,,Train
Fleet,2022-10-01,755721.46,,Train
Fleet,2022-11-01,1147900.8699999999,,Train
Fleet,2022-12-01,1726122.73,,Train
Fleet,2023-01-01,558733.89,,Train
Fleet,2023-02-01,1887543.03,,Train
Fleet,2023-03-01,1877673.33,,Train
Fleet,2023-04-01,1475279.25,,Train
Fleet,2023-05-01,1873847.6300000001,,Train
Fleet,2023-06-01,3479485.8,,Train
Fleet,2023-07-01,1086783.69,,Train
Fleet,2023-08-01,1389532.3599999999,,Train
Fleet,2023-09-01,2106989.65,,Train
Fleet,2023-10-01,47957.91,,Train
Fleet,2023-11-01,4572323.05,,Train
Fleet,2023-12-01,1069983.4,,Train
Fleet,2024-01-01,2221412.15,,Train
Fleet,2024-02-01,1696065.6,,Train
Fleet,2024-03-01,2117118.52,,Train
Fleet,2024-04-01,1856113.25,,Train
Fleet,2024-05-01,2854759.04,,Train
Fleet,2024-06-01,3972449.69,1908145.1930846183,Test
Fleet,2024-07-01,2386921.15,1948321.270316596,Test
Fleet,2024-08-01,1525296.93,1989343.2565431297,Test
Fleet,2024-09-01,3023163.23,2031228.9624136502,Test
Fleet,2024-10-01,3457435.58,2073996.573581557,Test
Fleet,2024-11-01,5068381.88,2117664.6585999564,Test
Fleet,2024-12-01,3251630.23,2162252.1769836103,Test
Fleet,2025-01-01,3735633.23,2207778.487440664,Test
Fleet,2025-02-01,4018447.2,2254263.3562776763,Test
Fleet,2025-03-01,6140948.41,2301726.965981622,Test
Fleet,2025-04-01,5423951.51,2350189.9239825867,Test
Fleet,2025-05-01,6724881.86,2399673.271600963,Test
Information Technology,2020-09-01,72276.06000000001,,Train
Information Technology,2020-10-01,1996147.65,,Train
Information Technology,2020-11-01,1058243.09,,Train
Information Technology,2020-12-01,2218654.88,,Train
Information Technology,2021-01-01,460114.62,,Train
Information Technology,2021-02-01,2536471.36,,Train
Information Technology,2021-03-01,3599420.42,,Train
Information Technology,2021-04-01,5520036.17,,Train
Information Technology,2021-05-01,1530327.02,,Train
Information Technology,2021-06-01,5930572.87,,Train
Information Technology,2021-07-01,3955790.42,,Train
Information Technology,2021-08-01,3192488.0,,Train
Information Technology,2021-09-01,1906150.06,,Train
Information Technology,2021-10-01,1728464.84,,Train
Information Technology,2021-11-01,2585692.92,,Train
Information Technology,2021-12-01,2938341.81,,Train
Information Technology,2022-01-01,1906389.61,,Train
Information Technology,2022-02-01,2605991.24,,Train
Information Technology,2022-03-01,3300481.68,,Train
Information Technology,2022-04-01,4638613.59,,Train
Information Technology,2022-05-01,4417692.71,,Train
Information Technology,2022-06-01,7060252.63,,Train
Information Technology,2022-07-01,7249691.75,,Train
Information Technology,2022-08-01,2402274.81,,Train
Information Technology,2022-09-01,3464297.56,,Train
Information Technology,2022-10-01,4345856.8,,Train
Information Technology,2022-11-01,4767616.67,,Train
Information Technology,2022-12-01,4757017.04,,Train
Information Technology,2023-01-01,3127657.11,,Train
Information Technology,2023-02-01,6964365.02,,Train
Information Technology,2023-03-01,6442491.34,,Train
Information Technology,2023-04-01,6136590.96,,Train
Information Technology,2023-05-01,6173150.65,,Train
Information Technology,2023-06-01,6805470.69,,Train
Information Technology,2023-07-01,11217635.91,,Train
Information Technology,2023-08-01,12106226.01,,Train
Information Technology,2023-09-01,5886627.97,,Train
Information Technology,2023-10-01,2470095.66,,Train
Information Technology,2023-11-01,9224001.41,,Train
Information Technology,2023-12-01,8156195.13,,Train
Information Technology,2024-01-01,5279908.05,,Train
Information Technology,2024-02-01,5337503.52,,Train
Information Technology,2024-03-01,5085988.38,,Train
Information Technology,2024-04-01,5109533.12,,Train
Information Technology,2024-05-01,5022872.75,,Train
Information Technology,2024-06-01,3555431.11,6838676.169499481,Test
Information Technology,2024-07-01,16812073.39,7185807.640054645,Test
Information Technology,2024-08-01,7438467.37,7550559.51766858,Test
Information Technology,2024-09-01,3821643.89,7933826.214894619,Test
Information Technology,2024-10-01,4679290.65,8336547.544702365,Test
Information Technology,2024-11-01,5360008.17,8759711.02500463,Test
Information Technology,2024-12-01,2048960.42,9204354.300162181,Test
Information Technology,2025-01-01,5205731.73,9671567.685404204,Test
Information Technology,2025-02-01,6728349.91,10162496.840403788,Test
Information Technology,2025-03-01,5268741.07,10678345.578563808,Test
Information Technology,2025-04-01,2258989.2,11220378.818902833,Test
Information Technology,2025-05-01,4130756.75,11789925.687778309,Test
Network Equipment,2020-09-01,50000.0,,Train
Network Equipment,2020-10-01,1681696.52,,Train
Network Equipment,2020-11-01,866130.96,,Train
Network Equipment,2020-12-01,3610330.47,,Train
Network Equipment,2021-01-01,1260514.29,,Train
Network Equipment,2021-02-01,5660133.66,,Train
