Group,MAE,RMSE,MAPE,DriftFlag,SpendRelativeChange
Advisory Services,3500143.991619328,3794410.6030944227,101.08872584822018,False,0.19633081936382105
Business (Corporate) Services,1993384.865409498,2295397.0792653407,22.14873299387541,True,0.3261576309896264
Construction Services,4530114.8330298215,4990947.482325095,36.38731345748154,False,0.06856127184694365
Facilities Management,2985387.679063011,7342568.918933145,40.63422449097428,True,0.9695281273307719
Fleet,1992720.7880233023,2341689.5842573764,44.467989960824596,True,1.6076729970650852
Information Technology,5106357.071910846,5747975.855224636,130.92797958366873,False,0.2452739120040011
Network Equipment,4481322.903381639,5384327.014689897,69.85616044886748,True,0.3250672502081252
Technical Services,4160336.9732769723,4898116.1403511,24.70849037258942,True,1.6525312474422684
Network Services,1473796.8514277802,1645113.650049505,39.23413126136466,False,0.04093024254021665
